cv_year,train_start,train_end,round,stage,model,picked,actual_pos,fantasy_pts
2014,2010,2013,1,EARLY,ridge,kevin_magnussen,2,2
2014,2010,2013,1,EARLY,rf_reg,button,3,4
2014,2010,2013,1,EARLY,rf_clf,sutil,11,18
2014,2010,2013,1,EARLY,xgb_reg,button,3,4
2014,2010,2013,1,EARLY,xgb_clf,sutil,11,18
2014,2010,2013,1,EARLY,xgb_ranker,sutil,11,18
2014,2010,2013,1,EARLY,lgb_reg,button,3,4
2014,2010,2013,1,EARLY,lgbm_ranker,sutil,11,18
2014,2010,2013,1,EARLY,ensemble,sutil,11,18
2014,2010,2013,2,EARLY,ridge,ricciardo,16,6
2014,2010,2013,2,EARLY,rf_reg,kvyat,10,25
2014,2010,2013,2,EARLY,rf_clf,perez,20,0
2014,2010,2013,2,EARLY,xgb_reg,kvyat,10,25
2014,2010,2013,2,EARLY,xgb_clf,kvyat,10,25
2014,2010,2013,2,EARLY,xgb_ranker,hulkenberg,5,8
2014,2010,2013,2,EARLY,lgb_reg,massa,7,12
2014,2010,2013,2,EARLY,lgbm_ranker,vergne,19,1
2014,2010,2013,2,EARLY,ensemble,kvyat,10,25
2014,2010,2013,3,EARLY,ridge,bottas,8,15
2014,2010,2013,3,EARLY,rf_reg,kevin_magnussen,18,2
2014,2010,2013,3,EARLY,rf_clf,kvyat,11,18
2014,2010,2013,3,EARLY,xgb_reg,bottas,8,15
2014,2010,2013,3,EARLY,xgb_clf,kevin_magnussen,18,2
2014,2010,2013,3,EARLY,xgb_ranker,hulkenberg,5,8
2014,2010,2013,3,EARLY,lgb_reg,sutil,20,0
2014,2010,2013,3,EARLY,lgbm_ranker,raikkonen,10,25
2014,2010,2013,3,EARLY,ensemble,massa,7,12
2014,2010,2013,4,EARLY,ridge,bottas,7,12
2014,2010,2013,4,EARLY,rf_reg,raikkonen,8,15
2014,2010,2013,4,EARLY,rf_clf,vergne,12,15
2014,2010,2013,4,EARLY,xgb_reg,hulkenberg,6,10
2014,2010,2013,4,EARLY,xgb_clf,hulkenberg,6,10
2014,2010,2013,4,EARLY,xgb_ranker,hulkenberg,6,10
2014,2010,2013,4,EARLY,lgb_reg,button,11,18
2014,2010,2013,4,EARLY,lgbm_ranker,vergne,12,15
2014,2010,2013,4,EARLY,ensemble,raikkonen,8,15
2014,2010,2013,5,EARLY,ridge,hulkenberg,10,25
2014,2010,2013,5,EARLY,rf_reg,raikkonen,7,12
2014,2010,2013,5,EARLY,rf_clf,kevin_magnussen,12,15
2014,2010,2013,5,EARLY,xgb_reg,alonso,6,10
2014,2010,2013,5,EARLY,xgb_clf,perez,9,18
2014,2010,2013,5,EARLY,xgb_ranker,kevin_magnussen,12,15
2014,2010,2013,5,EARLY,lgb_reg,ricciardo,3,4
2014,2010,2013,5,EARLY,lgbm_ranker,kevin_magnussen,12,15
2014,2010,2013,5,EARLY,ensemble,kevin_magnussen,12,15
2014,2010,2013,6,MID,ridge,hulkenberg,5,8
2014,2010,2013,6,MID,rf_reg,button,6,10
2014,2010,2013,6,MID,rf_clf,grosjean,8,15
2014,2010,2013,6,MID,xgb_reg,button,6,10
2014,2010,2013,6,MID,xgb_clf,button,6,10
2014,2010,2013,6,MID,xgb_ranker,button,6,10
2014,2010,2013,6,MID,lgb_reg,ricciardo,3,4
2014,2010,2013,6,MID,lgbm_ranker,kevin_magnussen,10,25
2014,2010,2013,6,MID,ensemble,button,6,10
2014,2010,2013,7,MID,ridge,button,4,6
2014,2010,2013,7,MID,rf_reg,button,4,6
2014,2010,2013,7,MID,rf_clf,perez,11,18
2014,2010,2013,7,MID,xgb_reg,button,4,6
2014,2010,2013,7,MID,xgb_clf,kevin_magnussen,9,18
2014,2010,2013,7,MID,xgb_ranker,grosjean,15,8
2014,2010,2013,7,MID,lgb_reg,perez,11,18
2014,2010,2013,7,MID,lgbm_ranker,grosjean,15,8
2014,2010,2013,7,MID,ensemble,perez,11,18
2014,2010,2013,8,MID,ridge,button,11,18
2014,2010,2013,8,MID,rf_reg,kevin_magnussen,7,12
2014,2010,2013,8,MID,rf_clf,perez,6,10
2014,2010,2013,8,MID,xgb_reg,raikkonen,10,25
2014,2010,2013,8,MID,xgb_clf,grosjean,14,10
2014,2010,2013,8,MID,xgb_ranker,perez,6,10
2014,2010,2013,8,MID,lgb_reg,perez,6,10
2014,2010,2013,8,MID,lgbm_ranker,kevin_magnussen,7,12
2014,2010,2013,8,MID,ensemble,perez,6,10
2014,2010,2013,9,MID,ridge,perez,11,18
2014,2010,2013,9,MID,rf_reg,massa,20,0
2014,2010,2013,9,MID,rf_clf,grosjean,12,15
2014,2010,2013,9,MID,xgb_reg,massa,20,0
2014,2010,2013,9,MID,xgb_clf,vergne,10,25
2014,2010,2013,9,MID,xgb_ranker,grosjean,12,15
2014,2010,2013,9,MID,lgb_reg,vergne,10,25
2014,2010,2013,9,MID,lgbm_ranker,grosjean,12,15
2014,2010,2013,9,MID,ensemble,vergne,10,25
2014,2010,2013,10,MID,ridge,bottas,2,2
2014,2010,2013,10,MID,rf_reg,bottas,2,2
2014,2010,2013,10,MID,rf_clf,bottas,2,2
2014,2010,2013,10,MID,xgb_reg,bottas,2,2
2014,2010,2013,10,MID,xgb_clf,bottas,2,2
2014,2010,2013,10,MID,xgb_ranker,bottas,2,2
2014,2010,2013,10,MID,lgb_reg,bottas,2,2
2014,2010,2013,10,MID,lgbm_ranker,rosberg,1,1
2014,2010,2013,10,MID,ensemble,bottas,2,2
2014,2010,2013,11,MID,ridge,hulkenberg,20,0
2014,2010,2013,11,MID,rf_reg,ricciardo,1,1
2014,2010,2013,11,MID,rf_clf,grosjean,20,0
2014,2010,2013,11,MID,xgb_reg,raikkonen,6,10
2014,2010,2013,11,MID,xgb_clf,maldonado,13,12
2014,2010,2013,11,MID,xgb_ranker,grosjean,20,0
2014,2010,2013,11,MID,lgb_reg,button,10,25
2014,2010,2013,11,MID,lgbm_ranker,grosjean,20,0
2014,2010,2013,11,MID,ensemble,grosjean,20,0
2014,2010,2013,12,MID,ridge,perez,8,15
2014,2010,2013,12,MID,rf_reg,button,6,10
2014,2010,2013,12,MID,rf_clf,perez,8,15
2014,2010,2013,12,MID,xgb_reg,massa,13,12
2014,2010,2013,12,MID,xgb_clf,vergne,11,18
2014,2010,2013,12,MID,xgb_ranker,perez,8,15
2014,2010,2013,12,MID,lgb_reg,kvyat,9,18
