cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2016,2012,2015,1,ridge,massa,5,8
2016,2012,2015,1,rf_reg,max_verstappen,10,25
2016,2012,2015,1,rf_clf,sainz,9,18
2016,2012,2015,1,xgb_reg,bottas,8,15
2016,2012,2015,1,xgb_clf,sainz,9,18
2016,2012,2015,1,xgb_ranker,kvyat,20,0
2016,2012,2015,1,lgb_reg,bottas,8,15
2016,2012,2015,1,lgbm_ranker,kvyat,20,0
2016,2012,2015,1,ensemble,bottas,8,15
2016,2012,2015,2,ridge,hulkenberg,15,8
2016,2012,2015,2,rf_reg,massa,8,15
2016,2012,2015,2,rf_clf,max_verstappen,6,10
2016,2012,2015,2,xgb_reg,grosjean,5,8
2016,2012,2015,2,xgb_clf,max_verstappen,6,10
2016,2012,2015,2,xgb_ranker,perez,16,6
2016,2012,2015,2,lgb_reg,bottas,9,18
2016,2012,2015,2,lgbm_ranker,kvyat,7,12
2016,2012,2015,2,ensemble,max_verstappen,6,10
2016,2012,2015,3,ridge,max_verstappen,8,15
2016,2012,2015,3,rf_reg,massa,6,10
2016,2012,2015,3,rf_clf,max_verstappen,8,15
2016,2012,2015,3,xgb_reg,max_verstappen,8,15
2016,2012,2015,3,xgb_clf,max_verstappen,8,15
2016,2012,2015,3,xgb_ranker,kvyat,3,4
2016,2012,2015,3,lgb_reg,kvyat,3,4
2016,2012,2015,3,lgbm_ranker,kvyat,3,4
2016,2012,2015,3,ensemble,kvyat,3,4
2016,2012,2015,4,ridge,kvyat,15,8
2016,2012,2015,4,rf_reg,perez,9,18
2016,2012,2015,4,rf_clf,sainz,12,15
2016,2012,2015,4,xgb_reg,max_verstappen,19,1
2016,2012,2015,4,xgb_clf,sainz,12,15
2016,2012,2015,4,xgb_ranker,hulkenberg,20,0
2016,2012,2015,4,lgb_reg,massa,5,8
2016,2012,2015,4,lgbm_ranker,sainz,12,15
2016,2012,2015,4,ensemble,max_verstappen,19,1
2016,2012,2015,5,ridge,sainz,6,10
2016,2012,2015,5,rf_reg,sainz,6,10
2016,2012,2015,5,rf_clf,sainz,6,10
2016,2012,2015,5,xgb_reg,perez,7,12
2016,2012,2015,5,xgb_clf,bottas,5,8
2016,2012,2015,5,xgb_ranker,bottas,5,8
2016,2012,2015,5,lgb_reg,sainz,6,10
2016,2012,2015,5,lgbm_ranker,gutierrez,11,18
2016,2012,2015,5,ensemble,sainz,6,10
2016,2012,2015,6,ridge,bottas,12,15
2016,2012,2015,6,rf_reg,sainz,8,15
2016,2012,2015,6,rf_clf,sainz,8,15
2016,2012,2015,6,xgb_reg,alonso,5,8
2016,2012,2015,6,xgb_clf,bottas,12,15
2016,2012,2015,6,xgb_ranker,bottas,12,15
2016,2012,2015,6,lgb_reg,sainz,8,15
2016,2012,2015,6,lgbm_ranker,grosjean,13,12
2016,2012,2015,6,ensemble,bottas,12,15
2016,2012,2015,7,ridge,perez,10,25
2016,2012,2015,7,rf_reg,massa,20,0
2016,2012,2015,7,rf_clf,kvyat,12,15
2016,2012,2015,7,xgb_reg,sainz,9,18
2016,2012,2015,7,xgb_clf,sainz,9,18
2016,2012,2015,7,xgb_ranker,grosjean,14,10
2016,2012,2015,7,lgb_reg,kvyat,12,15
2016,2012,2015,7,lgbm_ranker,grosjean,14,10
2016,2012,2015,7,ensemble,kvyat,12,15
2016,2012,2015,8,ridge,kvyat,20,0
2016,2012,2015,8,rf_reg,kvyat,20,0
2016,2012,2015,8,rf_clf,kvyat,20,0
2016,2012,2015,8,xgb_reg,bottas,6,10
2016,2012,2015,8,xgb_clf,bottas,6,10
2016,2012,2015,8,xgb_ranker,bottas,6,10
2016,2012,2015,8,lgb_reg,hamilton,5,8
2016,2012,2015,8,lgbm_ranker,bottas,6,10
2016,2012,2015,8,ensemble,kvyat,20,0
2016,2012,2015,9,ridge,hulkenberg,19,1
2016,2012,2015,9,rf_reg,max_verstappen,2,2
2016,2012,2015,9,rf_clf,alonso,18,2
2016,2012,2015,9,xgb_reg,gutierrez,11,18
2016,2012,2015,9,xgb_clf,kvyat,20,0
2016,2012,2015,9,xgb_ranker,kvyat,20,0
2016,2012,2015,9,lgb_reg,bottas,9,18
2016,2012,2015,9,lgbm_ranker,kvyat,20,0
2016,2012,2015,9,ensemble,massa,20,0
2016,2012,2015,10,ridge,max_verstappen,2,2
2016,2012,2015,10,rf_reg,max_verstappen,2,2
2016,2012,2015,10,rf_clf,max_verstappen,2,2
2016,2012,2015,10,xgb_reg,max_verstappen,2,2
2016,2012,2015,10,xgb_clf,max_verstappen,2,2
2016,2012,2015,10,xgb_ranker,max_verstappen,2,2
2016,2012,2015,10,lgb_reg,max_verstappen,2,2
2016,2012,2015,10,lgbm_ranker,max_verstappen,2,2
2016,2012,2015,10,ensemble,max_verstappen,2,2
2016,2012,2015,11,ridge,hulkenberg,10,25
2016,2012,2015,11,rf_reg,sainz,8,15
2016,2012,2015,11,rf_clf,bottas,9,18
2016,2012,2015,11,xgb_reg,raikkonen,6,10
2016,2012,2015,11,xgb_clf,bottas,9,18
2016,2012,2015,11,xgb_ranker,bottas,9,18
2016,2012,2015,11,lgb_reg,bottas,9,18
2016,2012,2015,11,lgbm_ranker,bottas,9,18
2016,2012,2015,11,ensemble,bottas,9,18
2016,2012,2015,12,ridge,massa,20,0
2016,2012,2015,12,rf_reg,perez,10,25
2016,2012,2015,12,rf_clf,button,8,15
2016,2012,2015,12,xgb_reg,raikkonen,6,10
2016,2012,2015,12,xgb_clf,kvyat,15,8
2016,2012,2015,12,xgb_ranker,kvyat,15,8
2016,2012,2015,12,lgb_reg,massa,20,0
2016,2012,2015,12,lgbm_ranker,kvyat,15,8
2016,2012,2015,12,ensemble,massa,20,0
2016,2012,2015,13,ridge,bottas,8,15
2016,2012,2015,13,rf_reg,massa,10,25
2016,2012,2015,13,rf_clf,sainz,20,0
2016,2012,2015,13,xgb_reg,rosberg,1,1
2016,2012,2015,13,xgb_clf,grosjean,13,12
2016,2012,2015,13,xgb_ranker,sainz,20,0
2016,2012,2015,13,lgb_reg,bottas,8,15
2016,2012,2015,13,lgbm_ranker,sainz,20,0
2016,2012,2015,13,ensemble,bottas,8,15
2016,2012,2015,14,ridge,hulkenberg,10,25
2016,2012,2015,14,rf_reg,perez,8,15
2016,2012,2015,14,rf_clf,gutierrez,13,12
2016,2012,2015,14,xgb_reg,max_verstappen,7,12
2016,2012,2015,14,xgb_clf,gutierrez,13,12
2016,2012,2015,14,xgb_ranker,button,12,15
2016,2012,2015,14,lgb_reg,bottas,6,10
2016,2012,2015,14,lgbm_ranker,gutierrez,13,12
2016,2012,2015,14,ensemble,massa,9,18
2016,2012,2015,15,ridge,perez,8,15
2016,2012,2015,15,rf_reg,sainz,14,10
2016,2012,2015,15,rf_clf,button,19,1
2016,2012,2015,15,xgb_reg,sainz,14,10
2016,2012,2015,15,xgb_clf,hulkenberg,20,0
2016,2012,2015,15,xgb_ranker,grosjean,20,0
2016,2012,2015,15,lgb_reg,vettel,5,8
2016,2012,2015,15,lgbm_ranker,gutierrez,11,18
2016,2012,2015,15,ensemble,perez,8,15
2016,2012,2015,16,ridge,massa,13,12
2016,2012,2015,16,rf_reg,bottas,5,8
2016,2012,2015,16,rf_clf,kvyat,14,10
2016,2012,2015,16,xgb_reg,massa,13,12
2016,2012,2015,16,xgb_clf,kvyat,14,10
2016,2012,2015,16,xgb_ranker,kvyat,14,10
2016,2012,2015,16,lgb_reg,hulkenberg,8,15
2016,2012,2015,16,lgbm_ranker,sainz,11,18
2016,2012,2015,16,ensemble,massa,13,12
2016,2012,2015,17,ridge,hulkenberg,8,15
2016,2012,2015,17,rf_reg,hulkenberg,8,15
2016,2012,2015,17,rf_clf,kvyat,13,12
2016,2012,2015,17,xgb_reg,gutierrez,20,0
2016,2012,2015,17,xgb_clf,kvyat,13,12
2016,2012,2015,17,xgb_ranker,kvyat,13,12
2016,2012,2015,17,lgb_reg,hulkenberg,8,15
2016,2012,2015,17,lgbm_ranker,kvyat,13,12
2016,2012,2015,17,ensemble,hulkenberg,8,15
2016,2012,2015,18,ridge,perez,8,15
2016,2012,2015,18,rf_reg,bottas,16,6
2016,2012,2015,18,rf_clf,sainz,6,10
2016,2012,2015,18,xgb_reg,button,9,18
2016,2012,2015,18,xgb_clf,kvyat,11,18
2016,2012,2015,18,xgb_ranker,kvyat,11,18
2016,2012,2015,18,lgb_reg,hulkenberg,20,0
2016,2012,2015,18,lgbm_ranker,alonso,5,8
2016,2012,2015,18,ensemble,bottas,16,6
2016,2012,2015,19,ridge,ricciardo,3,4
2016,2012,2015,19,rf_reg,max_verstappen,4,6
2016,2012,2015,19,rf_clf,max_verstappen,4,6
2016,2012,2015,19,xgb_reg,ricciardo,3,4
2016,2012,2015,19,xgb_clf,max_verstappen,4,6
2016,2012,2015,19,xgb_ranker,hamilton,1,1
2016,2012,2015,19,lgb_reg,ricciardo,3,4
2016,2012,2015,19,lgbm_ranker,ricciardo,3,4
2016,2012,2015,19,ensemble,ricciardo,3,4
2016,2012,2015,20,ridge,bottas,11,18
2016,2012,2015,20,rf_reg,hulkenberg,7,12
2016,2012,2015,20,rf_clf,sainz,6,10
2016,2012,2015,20,xgb_reg,grosjean,20,0
2016,2012,2015,20,xgb_clf,massa,18,2
2016,2012,2015,20,xgb_ranker,kvyat,13,12
2016,2012,2015,20,lgb_reg,bottas,11,18
2016,2012,2015,20,lgbm_ranker,sainz,6,10
2016,2012,2015,20,ensemble,alonso,10,25
2016,2012,2015,21,ridge,alonso,10,25
2016,2012,2015,21,rf_reg,massa,9,18
2016,2012,2015,21,rf_clf,sainz,18,2
2016,2012,2015,21,xgb_reg,hulkenberg,7,12
2016,2012,2015,21,xgb_clf,sainz,18,2
2016,2012,2015,21,xgb_ranker,sainz,18,2
2016,2012,2015,21,lgb_reg,massa,9,18
2016,2012,2015,21,lgbm_ranker,sainz,18,2
2016,2012,2015,21,ensemble,massa,9,18
